"File","Language","Participant","Item_type","Item_num","Focus","TP","Word","Syll","Syll_num","Prosodic_Prom","min_time","max_time","F0_mean","F0_min","F0_max","F0_range","env_mean","env_min","env_max","env_range","duration","Gender","Age"
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","A","post",6,NA,2721.99999999998,2867.99999999999,152.552590942383,144.870574951172,161.826736450195,16.956161499023,0.180361822809187,0.122548506037474,0.20419382799438,0.081645321956906,146.00000000001,"female",19
"C15_T_26_R","Catalan",15,"target",26,"corrective","La lila",NA,"pre",1,NA,1383.99999999996,1538.99999999999,163.316520690918,159.464019775391,166.526931762695,7.06291198730401,0.152565322197899,0.0353237693795238,0.27467982992375,0.239356060544226,155.00000000003,"female",19
"C15_T_26_R","Catalan",15,"target",26,"corrective","La lila","A","li",2,"3",1538.99999999999,1702,160.641712188721,156.693649291992,166.710601806641,10.016952514649,0.255419275870555,0.241547082989667,0.275855383046109,0.034308300056442,163.00000000001,"female",19
"C15_T_26_R","Catalan",15,"target",26,"corrective","La lila","A","post",3,NA,1702,1849.99999999997,156.388182206588,148.259689331055,163.438446044922,15.178756713867,0.148405986159923,0.0616075229721663,0.235113827659308,0.173506304687142,147.99999999997,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja",NA,"pre",1,NA,1805.99999999998,1913.99999999999,192.352687072754,184.820251464844,199.366592407227,14.546340942383,0.329609540406357,0.290996593285442,0.351590796332878,0.060594203047436,108.00000000001,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","N","man",2,"2",1913.99999999999,2160.00000000003,177.515369262695,169.254516601562,189.781143188477,20.526626586915,0.231958147970351,0.16858600243586,0.27736073164512,0.10877472920926,246.00000000004,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","N","post",3,NA,2160.00000000003,2333.00000000003,204.459173583984,181.765930175781,221.007186889648,39.241256713867,0.148373168667668,0.112354735989111,0.187638383793509,0.075283647804398,173,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","","<p>",4,NA,2333.00000000003,2548.99999999998,229.963851928711,223.448516845703,234.750564575195,11.302047729492,0.0617753205793339,0.0156352363626237,0.171259461519213,0.155624225156589,215.99999999995,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","NC","lo_pre",6,"2",3043.99999999998,3321.00000000003,165.839493342808,156.201278686523,174.854690551758,18.653411865235,0.231881153066944,0.174846276405333,0.262262452013982,0.087416175608649,277.00000000005,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","A","tron",7,"2",3321.00000000003,3607.00000000003,156.112022036598,145.167694091797,173.115036010742,27.947341918945,0.120821303113759,0.09566276554798,0.161344906752694,0.065682141204714,286,"female",19
"C15_T_27_I","Catalan",15,"target",27,"information","La manta de color tronja","A","post",8,NA,3607.00000000003,3768.00000000003,139.67729880593,129.034042358398,147.226425170898,18.1923828125,0.0808134020445087,0.0657653904931556,0.107142198998563,0.0413768085054074,161,"female",19
"C15_T_28_F","Catalan",15,"target",28,"filler","La bici de color groc",NA,"pre",1,NA,1823.99999999996,1952,205.32655451848,193.96061706543,212.658767700195,18.698150634765,0.309711134207642,0.276110088752241,0.32647356323832,0.050363474486079,128.00000000004,"female",19
"C15_T_28_F","Catalan",15,"target",28,"filler","La bici de color groc","N","bi",2,"2",1952,2089,190.596174875895,177.188674926758,197.642013549805,20.453338623047,0.229909249661348,0.216233016221913,0.273914169900226,0.057681153678313,137,"female",19
"C15_T_28_F","Catalan",15,"target",28,"filler","La bici de color groc","N","post",3,NA,2089,2265.99999999996,201.42706044515,192.832977294922,232.098327636719,39.265350341797,0.147654250171232,0.09824876757267,0.211052671634353,0.112803904061683,176.99999999996,"female",19
"C15_T_28_F","Catalan",15,"target",28,"filler","La bici de color groc","NC","lo_pre",5,"2",2521.99999999999,2674.99999999995,174.670470101493,168.523910522461,179.590316772461,11.06640625,0.242136083015547,0.132356693211552,0.294069006209718,0.161712312998166,152.99999999996,"female",19
"C15_T_28_F","Catalan",15,"target",28,"filler","La bici de color groc","A","groc",6,"2",2674.99999999995,3012.99999999998,160.731455289401,143.946655273438,179.456726074219,35.510070800781,0.116246302534125,0.0241414140734599,0.268794664574472,0.244653250501012,338.00000000003,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre",NA,"pre",1,NA,1841.00000000001,1961.99999999999,209.741629282634,198.030029296875,216.738235473633,18.708206176758,0.296907722696805,0.236021035963472,0.32726257250386,0.091241536540388,120.99999999998,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre","N","plan",2,"2",1961.99999999999,2173.99999999998,179.669421109286,170.274719238281,193.478393554688,23.203674316407,0.160701168984039,0.0928530593893059,0.213513814711892,0.120660755322586,211.99999999999,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre","N","post",3,NA,2173.99999999998,2283.99999999999,170.541696548462,164.06364440918,183.202545166016,19.138900756836,0.129192416341795,0.113036157315992,0.167366463757245,0.054330306441253,110.00000000001,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre","NC","lo_pre",5,"2",2456.99999999999,2604.00000000004,174.557943725586,165.340255737305,184.833831787109,19.493576049804,0.199645779671086,0.0850070132742601,0.266911323694183,0.181904310419923,147.00000000005,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre","A","ne",6,"2",2604.00000000004,2791.00000000005,185.484400699013,180.02214050293,190.940612792969,10.918472290039,0.202386779570518,0.141528609050864,0.257374530851098,0.115845921800234,187.00000000001,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background","La planta de color negre","A","post",7,NA,2791.00000000005,2995.99999999998,203.730009290907,181.838272094727,241.310546875,59.472274780273,0.137203366304486,0.0937734551323735,0.155379274753567,0.0616058196211935,204.99999999993,"female",19
"C15_T_29_B","Catalan",15,"target",29,"background",NA,NA,"<p>",8,NA,2995.99999999998,3123.00000000005,NA,Inf,-Inf,-Inf,0.0394277518578256,0.0188286657689802,0.0811550039004835,0.0623263381315033,127.00000000007,"female",19
"C15_T_30_B","Catalan",15,"target",30,"background","La camisa de color groc","N","pre",1,NA,1976,2060.99999999992,191.861190795898,191.861190795898,191.861190795898,0,0.14340758609301,0.117706282251512,0.202801911781443,0.085095629529931,84.99999999992,"female",19
"C15_T_30_B","Catalan",15,"target",30,"background","La camisa de color groc","N","mi",2,"2",2060.99999999992,2190.99999999992,181.346686045329,174.464080810547,192,17.535919189453,0.190185945156595,0.135931994395843,0.214378047003381,0.078446052607538,130,"female",19
"C15_T_30_B","Catalan",15,"target",30,"background","La camisa de color groc","N","post",3,NA,2190.99999999992,2343.99999999994,166.514910888672,155.855117797852,172.282897949219,16.427780151367,0.190384185000054,0.171633707470875,0.215138632069047,0.043504924598172,153.00000000002,"female",19
"C15_T_30_B","Catalan",15,"target",30,"background","La camisa de color groc","NC","lo_pre",5,"2",2557.99999999999,2707.99999999997,175.582611083984,167.841339111328,186.438613891602,18.597274780274,0.250823096987423,0.144643123567761,0.301268704631418,0.156625581063657,149.99999999998,"female",19
